,sgg_nm,road_addr,jibun_addr,lat,lon,install_year,install_type,manage_dept,manage_dept_pn,base_date
0,수원시,,경기도 수원시 장안구 연무동  산 1-4,37.301144,127.031677,2011,전용주,도로관리과,031-228-4309,2020-08-21
1,수원시,,경기도 수원시 장안구 연무동  4-25,37.300966,127.031689,2011,전용주,도로관리과,031-228-4309,2020-08-21
2,수원시,,경기도 수원시 장안구 연무동  4-36,37.301056,127.032005,2011,전용주,도로관리과,031-228-4309,2020-08-21
3,수원시,,경기도 수원시 장안구 연무동  4-25,37.301155,127.032377,2011,전용주,도로관리과,031-228-4309,2020-08-21
4,수원시,,경기도 수원시 장안구 연무동  4-25,37.301229,127.032653,2011,전용주,도로관리과,031-228-4309,2020-08-21
5,수원시,,경기도 수원시 장안구 연무동  산 94-6,37.301292,127.032927,2011,전용주,도로관리과,031-228-4309,2020-08-21
6,수원시,,경기도 수원시 장안구 연무동  산 94-6,37.301375,127.033169,2011,전용주,도로관리과,031-228-4309,2020-08-21
7,수원시,,경기도 수원시 장안구 연무동  산 94-6,37.301461,127.033381,2011,전용주,도로관리과,031-228-4309,2020-08-21
8,수원시,,경기도 수원시 장안구 연무동  산 1-4,37.301207,127.032005,2011,전용주,도로관리과,031-228-4309,2020-08-21
9,수원시,,경기도 수원시 장안구 연무동  산 1-4,37.301263,127.032236,2011,전용주,도로관리과,031-228-4309,2020-08-21
10,수원시,,경기도 수원시 장안구 연무동  산 1-4,37.301315,127.032453,2011,전용주,도로관리과,031-228-4309,2020-08-21
11,수원시,,경기도 수원시 장안구 연무동  산 1-4,37.301389,127.032724,2011,전용주,도로관리과,031-228-4309,2020-08-21
12,수원시,,경기도 수원시 장안구 연무동  산 94-6,37.301454,127.032958,2011,전용주,도로관리과,031-228-4309,2020-08-21
13,수원시,,경기도 수원시 장안구 연무동  산 94-6,37.301533,127.033175,2011,전용주,도로관리과,031-228-4309,2020-08-21
14,수원시,,경기도 수원시 장안구 연무동  산 94-6,37.301628,127.033381,2011,전용주,도로관리과,031-228-4309,2020-08-21
15,수원시,,경기도 수원시 장안구 연무동  4-4,37.300901,127.031409,2011,전용주,도로관리과,031-228-4309,2020-08-21
16,수원시,,경기도 수원시 장안구 연무동  440-42,37.300137,127.029258,2003,통신주,도로관리과,031-228-4309,2020-08-21
17,수원시,,경기도 수원시 장안구 연무동  9-10,37.299806,127.029356,2003,전용주,도로관리과,031-228-4309,2020-08-21
18,수원시,,경기도 수원시 장안구 연무동  8-2,37.299721,127.029884,2003,전용주,도로관리과,031-228-4309,2020-08-21
19,수원시,,경기도 수원시 장안구 연무동  7-7,37.299892,127.030301,2003,전용주,도로관리과,031-228-4309,2020-08-21
20,수원시,,경기도 수원시 장안구 연무동  4-20,37.300308,127.030721,2003,전용주,도로관리과,031-228-4309,2020-08-21
21,수원시,,경기도 수원시 장안구 연무동  4-7,37.300635,127.031051,2003,전용주,도로관리과,031-228-4309,2020-08-21
22,수원시,,경기도 수원시 장안구 연무동  4-32,37.300847,127.031268,2003,전용주,도로관리과,031-228-4309,2020-08-21
23,수원시,,경기도 수원시 장안구 연무동  393-2,37.301166,127.031091,2003,통신주,도로관리과,031-228-4309,2020-08-21
24,수원시,,경기도 수원시 장안구 연무동  406-1,37.300205,127.02908,2003,통신주,도로관리과,031-228-4309,2020-08-21
25,수원시,,경기도 수원시 장안구 연무동  3,37.29995,127.02992,2003,전용주,도로관리과,031-228-4309,2020-08-21
26,수원시,,경기도 수원시 장안구 연무동  4-7,37.300279,127.030324,2003,전용주,도로관리과,031-228-4309,2020-08-21
27,수원시,,경기도 수원시 장안구 연무동  4-7,37.300608,127.030673,2003,전용주,도로관리과,031-228-4309,2020-08-21
28,수원시,,경기도 수원시 장안구 연무동  3,37.300822,127.03084,2003,전용주,도로관리과,031-228-4309,2020-08-21
29,수원시,,경기도 수원시 장안구 연무동  393-2,37.301007,127.031009,2003,전용주,도로관리과,031-228-4309,2020-08-21
30,수원시,,경기도 수원시 장안구 연무동  393-2,37.30138,127.031204,2003,통신주,도로관리과,031-228-4309,2020-08-21
31,수원시,,경기도 수원시 장안구 연무동  393-2,37.301716,127.031435,2003,통신주,도로관리과,031-228-4309,2020-08-21
32,수원시,,경기도 수원시 장안구 연무동  198-1,37.298935,127.027317,1999,전용주,도로관리과,031-228-4309,2020-08-21
33,수원시,,경기도 수원시 장안구 연무동  380-101,37.298622,127.027097,1999,전용주,도로관리과,031-228-4309,2020-08-21
34,수원시,,경기도 수원시 장안구 연무동  380-101,37.298451,127.026993,1999,전용주,도로관리과,031-228-4309,2020-08-21
35,수원시,,경기도 수원시 장안구 연무동  380-101,37.298262,127.0269,1999,벽부주,도로관리과,031-228-4309,2020-08-21
36,수원시,,경기도 수원시 장안구 연무동  380-101,37.298108,127.026807,1999,벽부주,도로관리과,031-228-4309,2020-08-21
